zlevel,well_name,image_name,keypoint_likelihood_1,keypoint_likelihood_2,1_excluded_pixels,1_mean,1_min,1_max,1_std,1_area (pixel^2),1_mean_out,1_min_out,1_max_out,1_std_out,1_area_out (pixel^2),number_objects,biggestobject_1_mean,biggestobject_1_min,biggestobject_1_max,biggestobject_1_std,biggestobject_1_area,biggestobject_1_mean_out,biggestobject_1_min_out,biggestobject_1_max_out,biggestobject_1_std_out,biggestobject_1_area_out,num_droplets,droplet_area_mean,droplet_area_total,droplet_intensity_mean,droplet_intensity_total,droplet_intensity_min,droplet_intensity_max,droplet_area_std,droplet_intensity_std,daphnia_area,daphnia_size
MIP,B02,2026-04-03-TBT-CL-mothers_B02_w1,0.10977042466402054,0.9898404479026794,0,768.8687260674301,259,30617,848.4738966061565,1535042,300.72501113418457,0,3908,45.10144481674455,13925582,1,768.8687260674301,259,30617,848.4738966061565,1535042,300.72501113418457,0,3908,45.10144481674455,13925582,91,276.5054945054945,25162,7026.2669281180715,639390.2904587445,929.8325292901447,15974.776315789473,945.413929023524,4458.760150391802,1535042,1720.279337782094
MIP,B03,2026-04-03-TBT-CL-mothers_B03_w1,0.6807171106338501,0.6875052452087402,0,770.6634073893848,256,35991,1267.640249007044,1380981,305.4752160974536,0,44887,220.7093685036743,14079643,1,770.6634073893848,256,35991,1267.640249007044,1380981,305.4752160974536,0,44887,220.7093685036743,14079643,146,144.95205479452054,21163,6808.699667197443,994070.1514108267,891.1428571428571,21378.034682080925,110.01845188135212,4254.074521388762,1380981,357.9175882797603
MIP,B04,2026-04-03-TBT-CL-mothers_B04_w1,0.3713292181491852,0.82961106300354,0,757.4429155336841,249,30023,798.9674117961468,1624032,297.2932740229675,0,2816,31.253724370975895,13836592,1,757.4429155336841,249,30023,798.9674117961468,1624032,297.2932740229675,0,2816,31.253724370975895,13836592,114,112.28947368421052,12801,5717.249218560413,651766.4109158871,1155.0171428571427,18329.978193146417,73.57095469641385,3968.579530600909,1624032,1617.2473527571472
MIP,B05,2026-04-03-TBT-CL-mothers_B05_w1,0.6310121417045593,0.8028468489646912,0,648.7041745332797,261,28520,650.9260724411378,1388251,296.1554149396125,0,16029,54.7389903515014,14072373,1,648.7041745332797,261,28520,650.9260724411378,1388251,296.1554149396125,0,16029,54.7389903515014,14072373,131,171.06870229007635,22410,3284.68171558756,430293.3047419704,744.7169811320755,16048.298816568047,789.72984855913,3211.279133191324,1388251,1677.1395290791997
MIP,C02,2026-04-03-TBT-CL-mothers_C02_w1,0.04441305622458458,1.1254091262817383,0,675.8883180265724,247,37617,695.8967138658483,1092110,296.4406405561494,0,2813,34.50632984704106,14368514,2,682.3231451905796,247,37617,700.0270858202102,1073830,296.44247509208793,0,2813,34.48917020011027,14386794,172,196.8372093023256,33856,4101.403500562887,705441.4020968166,476.5491329479769,13947.297297297297,1084.6213165177965,2533.4737763922144,1092110,137.7425134081704
MIP,C03,2026-04-03-TBT-CL-mothers_C03_w1,0.469135582447052,0.6959794163703918,0,705.20808612493,263,47700,981.58430560037,1540367,297.0080448945734,0,2814,30.911645497518865,13920257,2,705.3198986194926,263,47700,981.6970071215457,1539941,297.0081676308555,0,2814,30.911302639770366,13920683,150,294.44666666666666,44167,4862.178539485633,729326.780922845,655.25,20925.0625,1470.9445877931437,3651.2709072739417,1540367,1718.8938303455511
MIP,C04,2026-04-03-TBT-CL-mothers_C04_w1,0.9019917845726013,1.1436054706573486,0,766.7061279937067,264,34142,1240.1435423210517,1372880,294.81614210195755,0,2779,30.385149419881,14087744,2,766.7831557812667,264,34142,1240.2336567847103,1372649,294.8163745321808,0,2779,30.3850163967165,14087975,145,330.17931034482757,47876,6972.684047790268,1011039.1869295889,431.06897156897156,21603.707602339182,1912.7301084116705,4744.139025224816,1372880,1638.2338050473747
MIP,C05,2026-04-03-TBT-CL-mothers_C05_w1,0.4634941518306732,0.7395122051239014,0,798.0560493995193,240,46859,1290.416738139089,1395965,291.38568571054583,0,2813,42.94270553870517,14064659,1,798.0560493995193,240,46859,1290.416738139089,1395965,291.38568571054583,0,2813,42.94270553870517,14064659,137,154.33576642335765,21144,6712.802490690227,919653.9412245612,415.8245192307692,26841.509756097563,96.73510505288192,5256.268191784976,1395965,1568.1980104565878
MIP,D02,2026-04-03-TBT-CL-mothers_D02_w1,0.9315447211265564,0.8443970680236816,0,571.7048262792651,255,23714,640.5183558994195,1042708,299.46446365757714,0,2814,38.4398033590536,14417916,4,572.086105436209,255,23714,641.2528782397484,1040155,299.4851592552226,0,2814,38.47357617984875,14420469,206,69.26699029126213,14269,3657.9725717857395,753542.3497878624,786.4938271604939,13353.17415730337,39.53524611699809,2093.7695469346436,1042708,1294.273927729366
MIP,D03,2026-04-03-TBT-CL-mothers_D03_w1,0.8556802272796631,1.077215313911438,0,688.0647253146682,252,46252,964.008948008802,1243532,300.84473519619905,0,2978,30.313564004400735,14217092,3,689.5218247249635,252,46252,966.1672161772926,1237381,300.8854293637534,0,2978,30.40520851361148,14223243,264,90.20833333333333,23815,4556.602445967264,1202943.0457353578,1068.360465116279,20602.87573964497,54.309545886501134,3395.934459744453,1243532,1428.6693109323794
